course,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded,instructor
ANA300Y1,Winter,2018,4.6,4.8,3.6,4.2,4.2,4.4,3.7,4.3,4,177,52,"Faiz, M."
ANA400H1,Winter,2018,4.7,4.9,4.8,4.4,4.4,4.5,4.9,3.9,4.4,166,92,"Bentley, D."
ANA400H1,Winter,2018,5,5,5,4.9,4.9,5,5,3.7,5,20,13,"Bentley, D."
ANA301H1,Winter,2017,4.4,4.5,4.3,3.9,4,4,4.6,3.6,4.1,168,129,"Abdalahad, N."
ANA400H1,Winter,2017,4.9,5,4.9,4.6,4.5,4.8,4.9,3.9,4.9,18,18,"Noyan, H."
ANA400H1,Winter,2016,4.9,4.9,4.8,4.5,4.7,4.8,4.8,3.6,4.8,19,17,"Bidmos, M."
ANA300Y1,Winter,2016,4.7,4.8,4.8,4.3,4.2,4.5,4.9,4.4,4.2,255,120,"Ballyk, B."
ANA301H1,Winter,2016,4.5,4.7,4.6,4.2,4.2,4.3,4.7,3.4,4.4,168,63,"Bidmos, M."
ANA300Y1,Winter,2015,4.6,4.9,4.9,4.2,4.1,4.4,4.9,4.4,4.3,209,60,"Ballyk, B."
ANA301H1,Winter,2015,4.2,4.4,3.3,3.2,3.2,3.6,3.5,3.8,3.6,294,82,"Taylor, I."
ANA301H1,Winter,2015,4.2,4.4,4.1,3.2,3.2,3.6,4,3.8,3.6,294,82,"Wiley, M."
ANA400H1,Winter,2015,5,5,5,4.9,4.9,5,5,4,5,19,10,"Taylor, I."
ANA300Y1,Winter,2014,4.7,4.8,4.8,4.3,4.3,4.5,4.9,4.4,4.5,273,140,"Ballyk, B."
ANA301H1,Winter,2014,4.3,4.4,3.6,3.6,3.5,3.7,3.8,3.7,3.8,415,131,"Morshead, C."
ANA301H1,Winter,2014,4.3,4.4,3.5,3.6,3.5,3.7,3.8,3.7,3.8,415,131,"Taylor, I."
ANA301H1,Winter,2014,4.3,4.4,4.4,3.6,3.5,3.7,4.3,3.7,3.8,415,131,"Wiley, M."
ANA300Y1,Summer,2014,4.4,4.6,4.2,4.2,4.3,4.1,4.4,4.3,4.2,101,38,"Bidmos, M."
ANA300Y1,Summer,2014,4.4,4.6,4.7,4.2,4.3,4.1,4.7,4.3,4.2,101,38,"Laprade, J."
ANA300Y1,Summer,2014,4.4,4.6,2.5,4.2,4.3,4.1,2.9,4.3,4.2,101,38,"Sun, H."
ANA300Y1,Winter,2019,4.61,4.7,4.7,4.1,4.2,4.3,4.7,4.3,4,281,203,"Ballyk, B."
