course,instructor,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
ANA300Y1,Maryam Faiz,4.6,4.8,3.6,4.2,4.2,4.4,3.7,4.3,4
ANA400H1,Danielle Bentley,4.7,4.9,4.8,4.4,4.4,4.5,4.9,3.9,4.4
ANA400H1,Danielle Bentley,5,5,5,4.9,4.9,5,5,3.7,5
ANA301H1,Nagham Abdalahad,4.4,4.5,4.3,3.9,4,4,4.6,3.6,4.1
ANA400H1,Hossein Noyan,4.9,5,4.9,4.6,4.5,4.8,4.9,3.9,4.9
ANA400H1,Mubarak Bidmos,4.9,4.9,4.8,4.5,4.7,4.8,4.8,3.6,4.8
ANA300Y1,Barbara Ballyk,4.7,4.8,4.8,4.3,4.2,4.5,4.9,4.4,4.2
ANA301H1,Mubarak Bidmos,4.5,4.7,4.6,4.2,4.2,4.3,4.7,3.4,4.4
ANA300Y1,Barbara Ballyk,4.6,4.9,4.9,4.2,4.1,4.4,4.9,4.4,4.3
ANA301H1,Ian Taylor,4.2,4.4,3.3,3.2,3.2,3.6,3.5,3.8,3.6
ANA301H1,Mike Wiley,4.2,4.4,4.1,3.2,3.2,3.6,4,3.8,3.6
ANA400H1,Ian Taylor,5,5,5,4.9,4.9,5,5,4,5
ANA300Y1,Barbara Ballyk,4.7,4.8,4.8,4.3,4.3,4.5,4.9,4.4,4.5
ANA301H1,Cindi Morshead,4.3,4.4,3.6,3.6,3.5,3.7,3.8,3.7,3.8
ANA301H1,Ian Taylor,4.3,4.4,3.5,3.6,3.5,3.7,3.8,3.7,3.8
ANA301H1,Mike Wiley,4.3,4.4,4.4,3.6,3.5,3.7,4.3,3.7,3.8
ANA300Y1,Mubarak Bidmos,4.4,4.6,4.2,4.2,4.3,4.1,4.4,4.3,4.2
ANA300Y1,Judith Laprade,4.4,4.6,4.7,4.2,4.3,4.1,4.7,4.3,4.2
ANA300Y1,Hong-Shuo Sun,4.4,4.6,2.5,4.2,4.3,4.1,2.9,4.3,4.2
ANA300Y1,Barbara Ballyk,4.61,4.7,4.7,4.1,4.2,4.3,4.7,4.3,4
ANA400H1,Danielle Bentley,4.87,4.9,4.7,4.7,4.7,4.7,4.8,4.1,4.9
ANA301H1,Danielle Bentley,4.67,4.8,4.8,4.3,4.2,4.4,4.9,4.1,4.1
ANA411H1,Judith Laprade,4.9,4.9,4.8,4.6,4.7,4.9,5,4,4.6
ANA300Y1,Kristina Lisk,4.5,4.8,4.8,4.2,4.1,4.3,4.8,4.0,4.2
ANA300Y1,Maryam Faiz,4.6,4.8,3.8,4.2,4.3,4.3,4.1,4.2,4.1
ANT100Y1,T Friesen,3.4,4.1,3.4,2.9,3.2,3.4,2.9,2.1,3.8
ANT100Y1,Ivan Kalmar,3.4,4.1,3.9,2.9,3.2,3.4,3.7,2.1,3.8
ANT100Y1,Shawn Lehman,3.4,4.1,4.7,2.9,3.2,3.4,4.7,2.1,3.8
ANT100Y1,T Friesen,3.7,3.9,3.4,3.5,3.5,3.4,3.4,2.8,3.6
ANT100Y1,Ivan Kalmar,3.7,3.9,4.1,3.5,3.5,3.4,4.1,2.8,3.6
ANT100Y1,Shawn Lehman,3.7,3.9,4.4,3.5,3.5,3.4,4.4,2.8,3.6
ANT200Y1,Anna Patton,3.9,4.2,4.1,3.8,3.9,3.7,4.2,3.2,3.8
ANT203Y1,T. Viola,4,4.2,3.7,3.7,3.6,3.6,4,2.9,3.6
ANT327H1,Lisa Davidson,4.4,4.6,4.4,4.3,4.6,3.9,4.4,3.4,4.1
ANT335Y1,Laura Eastham,4.7,4.8,4.9,4.6,4.5,4.7,4.9,2.9,4.6
ANT336H1,T. Viola,4.2,4.2,4.6,4.3,4.2,4.2,4.7,3.3,4.2
ANT341H1,Wen-Ching Sung,4.1,4.5,4.5,4.3,4.4,4.4,4.4,3.1,4.4
ANT343H1,Prakruti Dave,4.6,4.7,4.3,4.1,4.1,4.1,4.7,3.8,4.4
ANT366H1,Jesook Song,3.6,3.4,3.4,3.1,3.2,2.9,3.6,3.1,2.6
ANT371H1,Laura Bolt,3.8,4,3.7,3.6,3.6,3.4,3.8,3.1,3.8
ANT380H1,Edward Sammons,4.4,4.3,4.7,4.3,4.6,4.3,4.9,4.2,4.3
ANT425H1,Hy Luong,4.8,4.2,4.4,4.4,4.4,4.2,4.6,3.6,4
ANT436H1,Shawn Lehman,4.1,4.3,4.5,3.9,3.9,4.1,4.6,2.5,4.2
ANT457H1,Silvia Forni,4,3.8,4.2,3.7,4,3.8,4,3.2,3.8
ANT476H1,Janice Boddy,4.4,4.2,4.4,4.6,4.2,4.2,4.4,3.4,4.8
ARH312Y1,Anna Patton,4.4,4.6,4.8,4.2,4.4,4.4,4.8,3.2,4.4
ANT388H1,Krista Maxwell,4.3,4.5,4.1,3.5,3.4,3.5,4.6,3.9,3.6
ANT348H1,Krista Maxwell,3.9,4,3.7,3.3,3.4,3.4,3.4,3.7,3.2
ANT475H1,Janice Boddy,4.6,4.6,5,4.8,4.8,4.8,5,3.6,4.8
ANT430H1,Laura Bolt,4.7,4.6,4.8,4.8,4.7,4.5,4.7,3.3,4.6
ANT200Y1,Michael Chazan,3.8,4.1,3.8,3.6,3.8,3.5,3.9,3.1,3.6
ARH305H1,Gary Coupland,3.8,4,4.5,4.2,4,4,4.2,2.8,3.8
ANT253H1,Marcel Danesi,3.9,4,4.2,3.9,3.9,3.9,4.4,2.6,4.1
ANT438H1,Laura Eastham,4.7,4.7,4.9,4.5,4.7,4.6,4.9,3.1,4.8
ARH309H1,Justin Jennings,4.7,4.7,4.8,4.3,4.3,4.5,4.8,2.7,4.5
ANT207H1,Tania Li,3.8,4,4,3.7,3.8,3.5,4.1,3.4,3.4
ANT329H1,Hy Luong,4.6,4.4,4.4,4.1,4.2,4.1,4.4,2.9,4.3
ANT335Y1,Mariam Nargolwalla,4.4,4.4,4.7,4.1,4,4.2,4.6,3.2,4.2
ANT317H1,Anna Patton,4.2,4.2,5,4,3.7,4,5,3,4.2
ANT480H1,Edward Sammons,4.4,4.4,4.1,4.2,4.4,4,4.2,3.3,3.9
ANT378H1,Jesook Song,3.4,3.5,3.1,3.1,3.4,3,3.6,2.9,2.9
ANT318H1,Edward Swenson,3.6,3.6,3.6,3.6,3.4,3.2,3.3,3.8,3.2
ANT204H1,Jesook Song,2.7,2.8,2.1,2.8,2.9,2.4,2.5,2.3,2.4
ANT457H1,Silvia Forni,4.6,4.6,4.9,4.8,4.8,4.8,5,3.2,4.6
ANT356H1,Gillian Gillison,3.8,3.4,2.9,3,3.4,3,3.3,3.4,2.9
ANT322H1,Marcel Danesi,3.9,4,4.4,3.5,3.5,3.9,4.6,2.5,4.4
ANT366H1,Vivian Solana,3.8,3.8,3.8,3.9,4,3.5,4.3,3.1,3.7
ARH309H1,Justin Jennings,4.6,4.7,4.7,4.2,4.1,4.6,4.6,3,4.4
ANT319Y1,Anna Patton,4.9,4.9,4.9,4.7,4.7,4.8,4.9,3.2,4.9
ARH312Y1,Anna Patton,3.4,3.5,4.3,3.5,3.5,3.2,4.1,3.2,3.3
ANT411H1,Erell Hubert,4.1,4.3,4.2,4.1,4.1,3.9,4,3.8,3.3
ANT100Y1,Dylan Clark,4.1,4.2,4.2,3.6,3.7,3.8,4.2,3.5,3.9
ANT200Y1,Michael Gregg,4.9,4.8,4.8,4.7,4.8,4.6,4.7,3.3,4.8
ANT207H1,Jessica Taylor,4.1,4.3,4.6,4.1,4,4.2,4.4,3.3,4.1
ANT253H1,Marcel Danesi,4.2,4.2,4.4,4.3,4.4,4.2,4.7,2.6,4.7
ANT343H1,Kevin Nixon,3.9,4.1,4.1,4,3.9,3.8,4.2,3.7,3.9
ANT348H1,Krista Maxwell,4.3,4.3,4.4,4.4,4.4,4.2,4.5,3.5,4.2
ANT200Y1,Michael Chazan,4.1,4.1,4.1,4.1,4.1,3.8,4.1,3.2,3.9
ANT203Y1,Julia Gamble,4,4.1,4.2,3.8,3.8,3.9,4.1,3,3.9
ANT207H1,Tania Li,3.8,3.9,4,3.8,3.8,3.6,4,3.3,3.4
ANT208H1,Julia Gamble,3.6,3.8,3.5,3.3,3.3,3.3,3.8,3,3.6
ANT316H1,Edward Swenson,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,4.2
ANT317H1,Anna Patton,4.2,4.4,5,4.7,4.7,4,4.3,3.2,4.3
ANT322H1,Marcel Danesi,3.7,3.7,4,3.4,3.3,3.9,4.4,2.3,4.1
