dept,course,instructor,abbrev_instructor
ANA,ANA300Y1,Maryam Faiz,"Faiz, M."
ANA,ANA400H1,Danielle Bentley,"Bentley, D."
ANA,ANA400H1,Danielle Bentley,"Bentley, D."
ANA,ANA301H1,Nagham Abdalahad,"Abdalahad, N."
ANA,ANA400H1,Hossein Noyan,"Noyan, H."
ANA,ANA400H1,Mubarak Bidmos,"Bidmos, M."
ANA,ANA300Y1,Barbara Ballyk,"Ballyk, B."
ANA,ANA301H1,Mubarak Bidmos,"Bidmos, M."
ANA,ANA300Y1,Barbara Ballyk,"Ballyk, B."
ANA,ANA301H1,Ian Taylor,"Taylor, I."
ANA,ANA301H1,Mike Wiley,"Wiley, M."
ANA,ANA400H1,Ian Taylor,"Taylor, I."
ANA,ANA300Y1,Barbara Ballyk,"Ballyk, B."
ANA,ANA301H1,Cindi Morshead,"Morshead, C."
ANA,ANA301H1,Ian Taylor,"Taylor, I."
ANA,ANA301H1,Mike Wiley,"Wiley, M."
ANA,ANA300Y1,Mubarak Bidmos,"Bidmos, M."
ANA,ANA300Y1,Judith Laprade,"Laprade, J."
ANA,ANA300Y1,Hong-Shuo Sun,"Sun, H."
ANA,ANA300Y1,Barbara Ballyk,"Ballyk, B."
ANA,ANA400H1,Danielle Bentley,"Bentley, D."
ANA,ANA301H1,Danielle Bentley,"Bentley, D."
ANA,ANA411H1,Judith Laprade,"Laprade, J."
ANA,ANA300Y1,Kristina Lisk,"Lisk, K."
ANA,ANA300Y1,Maryam Faiz,"Faiz, M."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT200Y1,Anna Patton,"Patton, A."
ANT,ANT203Y1,T. Viola,"Viola, T."
ANT,ANT327H1,Lisa Davidson,"Davidson, L."
ANT,ANT335Y1,Laura Eastham,"Eastham, L."
ANT,ANT336H1,T. Viola,"Viola, T."
ANT,ANT341H1,Wen-Ching Sung,"Sung, W."
ANT,ANT343H1,Prakruti Dave,"Dave, P."
ANT,ANT366H1,Jesook Song,"Song, J."
ANT,ANT371H1,Laura Bolt,"Bolt, L."
ANT,ANT380H1,Edward Sammons,"Sammons, E."
ANT,ANT425H1,Hy Luong,"Luong, H."
ANT,ANT436H1,Shawn Lehman,"Lehman, S."
ANT,ANT457H1,Silvia Forni,"Forni, S."
ANT,ANT476H1,Janice Boddy,"Boddy, J."
ARH,ARH312Y1,Anna Patton,"Patton, A."
ANT,ANT388H1,Krista Maxwell,"Maxwell, K."
ANT,ANT348H1,Krista Maxwell,"Maxwell, K."
ANT,ANT475H1,Janice Boddy,"Boddy, J."
ANT,ANT430H1,Laura Bolt,"Bolt, L."
