↑  Dept,Division,Course,Last Name,First Name,Term,Year,Item 11. I found the course intellectually stimulating.,Item 22. The course provided me with a deeper understanding of the subject matter.,Item 33. The instructor created a course atmosphere that was conducive to my learning.,"Item 44. Course projects, assignments, tests and/or exams improved my understanding of the course material.","Item 55. Course projects, assignments, tests and/or exams provided opportunity for me to demonstrate an understanding of the course material.","Item 66. Overall, the quality of my learning experience in this course was:",Instructor generated enthusiasm,Course Workload,I would recommend this course,Number of Students Invited,Number of Respondents
ANA,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,N/A,Barbara,Winter,2018,4.6,4.8,4.8,4.2,4.2,4.4,4.9,4.3,4,177,52
ANA,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Faiz,Maryam,Winter,2018,4.6,4.8,3.6,4.2,4.2,4.4,3.7,4.3,4,177,52
ANA,ARTSC,Human Embryology ANA400H1-S-LEC0101,Bentley,Danielle,Winter,2018,4.7,4.9,4.8,4.4,4.4,4.5,4.9,3.9,4.4,166,92
ANA,ARTSC,Anatomy Dissections ANA400H1-S-LEC0101,Bentley,Danielle,Winter,2018,5,5,5,4.9,4.9,5,5,3.7,5,20,13
ANA,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Ballyk,Barbara,Winter,2017,4.6,4.8,4.7,4.1,4,N/A,4.8,4.5,3.9,236,133
ANA,ARTSC,Human Embryology ANA301H1-S-LEC0101,Abdalahad,Nagham,Winter,2017,4.4,4.5,4.3,3.9,4,4,4.6,3.6,4.1,168,129
ANA,ARTSC,Anatomy Dissections ANA400H1-S-LEC0101,Noyan,Hossein,Winter,2017,4.9,5,4.9,4.6,4.5,4.8,4.9,3.9,4.9,18,18
ANA,ARTSC,Anatomy Dissections ANA400H1-S-LEC0101,Bidmos,Mubarak,Winter,2016,4.9,4.9,4.8,4.5,4.7,4.8,4.8,3.6,4.8,19,17
ANA,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Ballyk,Barbara,Winter,2016,4.7,4.8,4.8,4.3,4.2,4.5,4.9,4.4,4.2,255,120
ANA,ARTSC,Human Embryology ANA301H1-S-LEC0101,Bidmos,Mubarak,Winter,2016,4.5,4.7,4.6,4.2,4.2,4.3,4.7,3.4,4.4,168,63
ANA,ARTSC,Human Anat Histol ANA300Y1-Y-LEC0101,Ballyk,Barbara,Winter,2015,4.6,4.9,4.9,4.2,4.1,4.4,4.9,4.4,4.3,209,60
