dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
ANA,ANA300Y1,Maryam Faiz,Faiz M,Winter,2018,4.6,4.8,3.6,4.2,4.2,4.4,3.7,4.3,177,52
ANA,ANA400H1,Danielle Bentley,Bentley D,Winter,2018,4.7,4.9,4.8,4.4,4.4,4.5,4.9,3.9,166,92
ANA,ANA400H1,Danielle Bentley,Bentley D,Winter,2018,5,5,5,4.9,4.9,5,5,3.7,20,13
ANA,ANA301H1,Nagham Abdalahad,Abdalahad N,Winter,2017,4.4,4.5,4.3,3.9,4,4,4.6,3.6,168,129
ANA,ANA400H1,Hossein Noyan,Noyan H,Winter,2017,4.9,5,4.9,4.6,4.5,4.8,4.9,3.9,18,18
ANA,ANA400H1,Mubarak Bidmos,Bidmos M,Winter,2016,4.9,4.9,4.8,4.5,4.7,4.8,4.8,3.6,19,17
ANA,ANA300Y1,Barbara Ballyk,Ballyk B,Winter,2016,4.7,4.8,4.8,4.3,4.2,4.5,4.9,4.4,255,120
ANA,ANA301H1,Mubarak Bidmos,Bidmos M,Winter,2016,4.5,4.7,4.6,4.2,4.2,4.3,4.7,3.4,168,63
ANA,ANA300Y1,Barbara Ballyk,Ballyk B,Winter,2015,4.6,4.9,4.9,4.2,4.1,4.4,4.9,4.4,209,60
ANA,ANA301H1,Ian Taylor,Taylor I,Winter,2015,4.2,4.4,3.3,3.2,3.2,3.6,3.5,3.8,294,82
ANA,ANA301H1,Mike Wiley,Wiley M,Winter,2015,4.2,4.4,4.1,3.2,3.2,3.6,4,3.8,294,82
ANA,ANA400H1,Ian Taylor,Taylor I,Winter,2015,5,5,5,4.9,4.9,5,5,4,19,10
ANA,ANA300Y1,Barbara Ballyk,Ballyk B,Winter,2014,4.7,4.8,4.8,4.3,4.3,4.5,4.9,4.4,273,140
ANA,ANA301H1,Cindi Morshead,Morshead C,Winter,2014,4.3,4.4,3.6,3.6,3.5,3.7,3.8,3.7,415,131
