course,instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded
ANA300Y1,Maryam Faiz,Winter,2018,4.6,4.8,3.6,4.2,4.2,4.4,3.7,4.3,4,177,52
ANA400H1,Danielle Bentley,Winter,2018,4.7,4.9,4.8,4.4,4.4,4.5,4.9,3.9,4.4,166,92
ANA400H1,Danielle Bentley,Winter,2018,5,5,5,4.9,4.9,5,5,3.7,5,20,13
ANA301H1,Nagham Abdalahad,Winter,2017,4.4,4.5,4.3,3.9,4,4,4.6,3.6,4.1,168,129
ANA400H1,Hossein Noyan,Winter,2017,4.9,5,4.9,4.6,4.5,4.8,4.9,3.9,4.9,18,18
ANA400H1,Mubarak Bidmos,Winter,2016,4.9,4.9,4.8,4.5,4.7,4.8,4.8,3.6,4.8,19,17
ANA300Y1,Barbara Ballyk,Winter,2016,4.7,4.8,4.8,4.3,4.2,4.5,4.9,4.4,4.2,255,120
ANA301H1,Mubarak Bidmos,Winter,2016,4.5,4.7,4.6,4.2,4.2,4.3,4.7,3.4,4.4,168,63
ANA300Y1,Barbara Ballyk,Winter,2015,4.6,4.9,4.9,4.2,4.1,4.4,4.9,4.4,4.3,209,60
ANA301H1,Ian Taylor,Winter,2015,4.2,4.4,3.3,3.2,3.2,3.6,3.5,3.8,3.6,294,82
ANA301H1,Mike Wiley,Winter,2015,4.2,4.4,4.1,3.2,3.2,3.6,4,3.8,3.6,294,82
ANA400H1,Ian Taylor,Winter,2015,5,5,5,4.9,4.9,5,5,4,5,19,10
ANA300Y1,Barbara Ballyk,Winter,2014,4.7,4.8,4.8,4.3,4.3,4.5,4.9,4.4,4.5,273,140
ANA301H1,Cindi Morshead,Winter,2014,4.3,4.4,3.6,3.6,3.5,3.7,3.8,3.7,3.8,415,131
ANA301H1,Ian Taylor,Winter,2014,4.3,4.4,3.5,3.6,3.5,3.7,3.8,3.7,3.8,415,131
ANA301H1,Mike Wiley,Winter,2014,4.3,4.4,4.4,3.6,3.5,3.7,4.3,3.7,3.8,415,131
ANA300Y1,Mubarak Bidmos,Summer,2014,4.4,4.6,4.2,4.2,4.3,4.1,4.4,4.3,4.2,101,38
ANA300Y1,Judith Laprade,Summer,2014,4.4,4.6,4.7,4.2,4.3,4.1,4.7,4.3,4.2,101,38
ANA300Y1,Hong-Shuo Sun,Summer,2014,4.4,4.6,2.5,4.2,4.3,4.1,2.9,4.3,4.2,101,38
ANA300Y1,Barbara Ballyk,Winter,2019,4.61,4.7,4.7,4.1,4.2,4.3,4.7,4.3,4,281,203
ANA400H1,Danielle Bentley,Winter,2019,4.87,4.9,4.7,4.7,4.7,4.7,4.8,4.1,4.9,15,15
ANA301H1,Danielle Bentley,Winter,2019,4.67,4.8,4.8,4.3,4.2,4.4,4.9,4.1,4.1,190,96
ANA411H1,Judith Laprade,Winter,2019,4.9,4.9,4.8,4.6,4.7,4.9,5,4,4.6,13,10
ANA300Y1,Kristina Lisk,Summer,2019,4.5,4.8,4.8,4.2,4.1,4.3,4.8,4.0,4.2,81,45
ANA300Y1,Maryam Faiz,Fall,2018,4.6,4.8,3.8,4.2,4.3,4.3,4.1,4.2,4.1,355,92
ANT100Y1,T Friesen,Winter,2018,3.4,4.1,3.4,2.9,3.2,3.4,2.9,2.1,3.8,43,10
ANT100Y1,Ivan Kalmar,Winter,2018,3.4,4.1,3.9,2.9,3.2,3.4,3.7,2.1,3.8,43,10
ANT100Y1,Shawn Lehman,Winter,2018,3.4,4.1,4.7,2.9,3.2,3.4,4.7,2.1,3.8,43,10
ANT100Y1,T Friesen,Winter,2018,3.7,3.9,3.4,3.5,3.5,3.4,3.4,2.8,3.6,743,221
ANT100Y1,Ivan Kalmar,Winter,2018,3.7,3.9,4.1,3.5,3.5,3.4,4.1,2.8,3.6,743,221
